epoch,train_loss,val_loss,train_macro_f1,train_micro_f1,train_valence_mse,train_arousal_mse,val_macro_f1,val_micro_f1,val_valence_mse,val_arousal_mse
1,0.8217792381991201,0.7701444029808044,0.023335151469208833,0.18232235701906413,,,0.013671310639184784,0.2973621103117506,,
2,0.7222559758976325,0.6706334034601847,0.04077012801461235,0.3042212518195051,,,0.042941557898705,0.3178378378378378,,
3,0.5675760854536028,0.5725300629933675,0.14340069323876947,0.33573870110140525,,,0.13867625096208985,0.29812734082397,,
4,0.43009340941016355,0.6034648378690084,0.2394267675994644,0.3508771929824561,,,0.18175059350329972,0.32599837000814996,,
