epoch,train_loss,val_loss,train_macro_f1,train_micro_f1,val_macro_f1,val_micro_f1
1,0.8155024717835819,0.775645948946476,0.027074542579834788,0.13276631054869828,0.012202302186005008,0.329153605015674
2,0.743780667290968,0.7461241185665131,0.01988197012811586,0.30980392156862746,0.023959948434647573,0.2841648590021692
3,0.7088937759399414,0.7241690680384636,0.03606702971469064,0.27670103092783505,0.041402518073015704,0.2746615087040619
4,0.6767805288819706,0.713367410004139,0.05380599827941877,0.25870473537604455,0.04510004735990263,0.2549407114624506
5,0.641406874446308,0.6905546560883522,0.07554127563685169,0.28052138791995596,0.04401931877650827,0.24313725490196078
6,0.6025775925201529,0.6851318329572678,0.10144488989902337,0.28862717525048337,0.06062720875538248,0.23529411764705882
7,0.5706349558690015,0.6714886799454689,0.11683412344952603,0.2994542974079127,0.08989340195607846,0.2591093117408907
8,0.5293368811116499,0.6913599297404289,0.14568763944070354,0.3006451612903226,0.07137877250047792,0.23208191126279865
9,0.5012681431630078,0.6758490577340126,0.18643816941328428,0.31437699680511183,0.08607099076452747,0.25765907305577374
10,0.4645547305836397,0.6836724281311035,0.20427346677898647,0.3226502311248074,0.09991988624616095,0.25449101796407186
11,0.4483329662505318,0.665691688656807,0.2282129292064873,0.34478351174308997,0.12119560020274649,0.24707602339181287
12,0.4129860041772618,0.6654886491596699,0.2588992442521535,0.34791824375473124,0.13216839311443349,0.2583941605839416
13,0.385484079227728,0.7055024616420269,0.28430010776599957,0.36784409257003653,0.12683703733313584,0.27721088435374147
14,0.36734413837685304,0.7064162380993366,0.31561379485823365,0.389800796812749,0.13186673557793704,0.2596439169139466
15,0.3423241153359413,0.7257498651742935,0.33476119448160996,0.3984698756773988,0.12727445951986752,0.2544570502431118
16,0.32212692674468546,0.7323893941938877,0.3363679086066501,0.40602218700475434,0.14123275307111813,0.2671063478977741
17,0.3003854707759969,0.7613933868706226,0.3706785839755512,0.43949367088607594,0.1237536399452331,0.26870474658085275
18,0.27849023876821294,0.8027025461196899,0.38827066650520403,0.4501338688085676,0.1396205658643987,0.2847341337907376
19,0.26533176443156076,0.8223221898078918,0.4038329284476528,0.46435845213849286,0.15221677857391638,0.29017447199265384
20,0.2502829778720351,0.8321222849190235,0.4238148544284647,0.47646017699115045,0.12166359801570163,0.2727272727272727
21,0.23264995348804138,0.905578576028347,0.4366940413976476,0.49206349206349204,0.11420815447729792,0.29035166816952207
22,0.2160259213517694,0.8914277032017708,0.47496723685847836,0.522354694485842,0.12908693140821342,0.27574468085106385
23,0.20044819791527355,0.9415778107941151,0.49834351486023043,0.5377448184065412,0.12829939118666372,0.28677150786308975
24,0.1835932966102572,1.0205779299139977,0.5036739193156096,0.5500861903849837,0.12301482598165597,0.32858707557502737
25,0.16765658491674593,1.0632156059145927,0.5396169325235038,0.5835189309576837,0.1201251846625361,0.3076923076923077
26,0.15878765657544136,1.0118364691734314,0.5618999110438075,0.6012065737466196,0.12243333750644356,0.301010101010101
27,0.14985573116470785,1.136551946401596,0.578666614485606,0.6127533783783784,0.11375520278567602,0.3188720173535792
28,0.1423328860717661,1.1852747723460197,0.5968876616228468,0.6292619766940009,0.12808936345346508,0.32222222222222224
29,0.12634821805883856,1.1930553689599037,0.6108837898672489,0.644748455428067,0.12932403090719016,0.3215130023640662
30,0.11962947600028094,1.257068820297718,0.6505259438306198,0.6754264638082066,0.12265279953908774,0.3284313725490196
