variant,best_val_macro_f1,macro_f1,micro_f1,valence_mse,arousal_mse
fusion,0.061957703167318266,0.068485128882536,0.2628398791540785,,
bert,0.1067569123119498,0.10958335100281617,0.28733997155049784,,
gnn,0.027781203154259002,0.037484103871761446,0.25545675020210185,,
early,0.18175059350329972,0.17698281974759184,0.33607907742998355,,
