epoch,train_loss,val_loss,train_macro_f1,train_micro_f1,val_macro_f1,val_micro_f1
1,0.8659739809877732,0.8204435482621193,0.02805613944889805,0.09797272924031455,0.01419348713805991,0.2401656314699793
2,0.7945294082164764,0.781470350921154,0.017194782629087708,0.2753519446432832,0.02618070494537567,0.3119496855345912
3,0.7506348648492027,0.7597391828894615,0.04938716549317428,0.3453038674033149,0.04703983785285268,0.32634032634032634
4,0.7028550838722902,0.7343622520565987,0.1094999334280737,0.3463564530289728,0.07259861658878429,0.32489451476793246
5,0.6566032732234282,0.705989196896553,0.1957220039111855,0.39415740135164595,0.09699522189494952,0.31336405529953915
6,0.614071670700522,0.6906132474541664,0.28735286819325645,0.41055718475073316,0.10401339499512724,0.3215613382899628
7,0.571685758583686,0.6693272739648819,0.37183367835618125,0.4455177743431221,0.141494625100168,0.3392689784442362
8,0.5381587813882267,0.6622306630015373,0.4382321492725657,0.4806321063788784,0.14683591619309982,0.3376146788990826
