epoch,train_loss,val_loss,train_macro_f1,train_micro_f1,val_macro_f1,val_micro_f1
1,0.8330128210432389,0.7682887464761734,0.029579547803335358,0.12378709373528027,0.021633785816210734,0.32564102564102565
2,0.733087758807575,0.7281586527824402,0.027698532064038474,0.32647307583873697,0.034070211751636846,0.3451086956521739
3,0.7022399797159082,0.7097382172942162,0.043351860420236706,0.3357468490211853,0.04551968449231048,0.31483578708946774
4,0.6759947450721965,0.6994716450572014,0.04133238373773574,0.29856759176365266,0.041258236979294774,0.30131004366812225
5,0.6611277110436383,0.6925629749894142,0.05095811890679002,0.3055370246831221,0.04750014167565532,0.2591304347826087
6,0.6545976172475254,0.6821618601679802,0.05826192909938474,0.29230152365677625,0.05484469348184202,0.27486437613019893
7,0.6288654252010233,0.6732666492462158,0.07085035869746141,0.2749767441860465,0.054862923948024854,0.27289048473967686
8,0.6143278821426279,0.6824839785695076,0.08027250046745191,0.2767540751240255,0.06472409659353714,0.23813354786806115
9,0.6114657284582362,0.6675705462694168,0.0839499017905108,0.2719359331476323,0.06751152690339932,0.24219910846953938
10,0.5917686118799097,0.7189279496669769,0.10063776320569483,0.27123552123552125,0.049754856080374846,0.21230561189993238
11,0.5975616618114359,0.6708381772041321,0.09843188112299597,0.27686516084873375,0.07207217394807416,0.2519809825673534
12,0.584978336797041,0.6694677323102951,0.10299839019448728,0.27450980392156865,0.07413413131006935,0.23684210526315788
13,0.5876342996078379,0.6681646853685379,0.09993948434044961,0.2632958224140589,0.06898581508797595,0.2375533428165007
14,0.5732839598375208,0.702261820435524,0.11375914939911969,0.2664610639938319,0.06058422000494722,0.2134185303514377
15,0.5686042685719097,0.6661906987428665,0.11004725261251508,0.27072599531615926,0.08152042026028318,0.2361308677098151
16,0.5636196004993775,0.6720640510320663,0.11909265179591805,0.27147500386937007,0.07491255326724096,0.22643896268184693
17,0.5666418294696247,0.6768645569682121,0.1344187704195077,0.26631625054752517,0.08471696180875568,0.21720561317876755
18,0.5596101660938824,0.6567082107067108,0.1283286346687953,0.27008797653958944,0.08510459230333502,0.23834196891191708
19,0.553644044434323,0.6928902193903923,0.1323486499287722,0.26914563966356797,0.0781590189719534,0.24238128986534374
20,0.551021561903112,0.6501356959342957,0.1287661413298754,0.2714797136038186,0.08792022500131338,0.2245398773006135
21,0.5443488648709129,0.6582564562559128,0.14197341348603132,0.27556200145032633,0.08855539863085167,0.21803182086034179
22,0.5374323883477379,0.6687467470765114,0.14505520388515042,0.27154195011337867,0.07917549462362235,0.21606008087810513
23,0.5455417177256416,0.7126443162560463,0.13973500281191448,0.27753503088744913,0.06909176109904223,0.17782217782217782
24,0.5351321951431387,0.743323277682066,0.15014134652931674,0.2773892773892774,0.08202913881900163,0.1809421841541756
25,0.5218617434010786,0.6453363187611103,0.14924648393869086,0.27624466571834994,0.10532946558341992,0.24074074074074073
26,0.5252940198954414,0.6501234024763107,0.16013935094186285,0.2827454997804771,0.10225715139806106,0.23830877642536835
27,0.5175280641106998,0.6965258158743382,0.15438038978041665,0.2772953736654804,0.10442404982527709,0.2257617728531856
28,0.5082266681334552,0.6549684666097164,0.16527343879364245,0.28994429785986514,0.11749949147955227,0.21804511278195488
29,0.516570632948595,0.6940710134804249,0.168251093154652,0.2847457627118644,0.09632280295317829,0.1746031746031746
30,0.5156322989393683,0.8127175867557526,0.16381169598881457,0.27827298050139276,0.07404697362847544,0.1855921855921856
