epoch,train_loss,val_loss,train_macro_f1,train_micro_f1,train_valence_mse,train_arousal_mse,val_macro_f1,val_micro_f1,val_valence_mse,val_arousal_mse
1,0.8274025276525697,0.787447468439738,0.020608322615757273,0.17516811546662292,,,0.007071349118067695,0.4073226544622426,,
2,0.7750971441838279,0.7552123188972473,0.01482937287825887,0.31242078580481625,,,0.028937820803568468,0.35646687697160884,,
3,0.7010539832399852,0.6621885498364767,0.05717951665135997,0.2932662051604783,,,0.07065249731809933,0.2916274694261524,,
4,0.5771432065252048,0.5996626138687133,0.11568979238895774,0.31076134699853586,,,0.1067569123119498,0.2599431818181818,,
