epoch,train_loss,val_loss,train_macro_f1,train_micro_f1,train_valence_mse,train_arousal_mse,val_macro_f1,val_micro_f1,val_valence_mse,val_arousal_mse
1,0.8188983166395728,0.7748296578725179,0.018316196793043957,0.2016673283048829,,,0.012055378899526693,0.35668789808917195,,
2,0.7593351664827831,0.7484244704246521,0.019914597021628032,0.29639109291016125,,,0.016642141443089866,0.2837370242214533,,
3,0.7205721976152107,0.7148376067479452,0.02870108705039585,0.27335047129391604,,,0.026868727084331894,0.26508407517309596,,
4,0.6969759006108811,0.7130074540774027,0.03837545197943283,0.2576709796672828,,,0.027781203154259002,0.22615384615384615,,
