epoch,train_loss,val_loss,train_macro_f1,train_micro_f1,train_valence_mse,train_arousal_mse,val_macro_f1,val_micro_f1,val_valence_mse,val_arousal_mse
1,0.8530413704131966,0.818036659558614,0.027972925768201918,0.14931289640591966,,,0.011535482118443982,0.3240058910162003,,
2,0.7829440004790007,0.7603449583053589,0.022135489912391833,0.26638869585360203,,,0.015196207124804836,0.28941176470588237,,
3,0.7214894250257692,0.7330944061279296,0.044524475318888194,0.2803776683087028,,,0.0403624652828085,0.28541666666666665,,
4,0.6610988854472317,0.6613834341367085,0.07156164987410675,0.2796610169491525,,,0.061957703167318266,0.25765907305577374,,
